"community_cards","current_street","encoded_actions","final_pot","final_stack","game_number","hand_name","hand_value","hole_cards","initial_seats","initial_stack","player_name","pot","round_count","street","uuid","win_rate","won_hand","action_1_type","action_1_amount","action_1_street","action_1_player","action_1_pot","action_1_bet_percentage","action_1_encoded_past_actions","action_2_type","action_2_amount","action_2_street","action_2_player","action_2_pot","action_2_bet_percentage","action_2_encoded_past_actions","action_3_type","action_3_amount","action_3_street","action_3_player","action_3_pot","action_3_bet_percentage","action_3_encoded_past_actions","action_4_type","action_4_amount","action_4_street","action_4_player","action_4_pot","action_4_bet_percentage","action_4_encoded_past_actions","action_5_type","action_5_amount","action_5_street","action_5_player","action_5_pot","action_5_bet_percentage","action_5_encoded_past_actions","action_6_type","action_6_amount","action_6_street","action_6_player","action_6_pot","action_6_bet_percentage","action_6_encoded_past_actions","action_7_type","action_7_amount","action_7_street","action_7_player","action_7_pot","action_7_bet_percentage","action_7_encoded_past_actions","action_8_type","action_8_amount","action_8_street","action_8_player","action_8_pot","action_8_bet_percentage","action_8_encoded_past_actions","action_9_type","action_9_amount","action_9_street","action_9_player","action_9_pot","action_9_bet_percentage","action_9_encoded_past_actions","action_10_type","action_10_amount","action_10_street","action_10_player","action_10_pot","action_10_bet_percentage","action_10_encoded_past_actions","action_11_type","action_11_amount","action_11_street","action_11_player","action_11_pot","action_11_bet_percentage","action_11_encoded_past_actions","action_12_type","action_12_amount","action_12_street","action_12_player","action_12_pot","action_12_bet_percentage","action_12_encoded_past_actions","action_13_type","action_13_amount","action_13_street","action_13_player","action_13_pot","action_13_bet_percentage","action_13_encoded_past_actions","action_14_type","action_14_amount","action_14_street","action_14_player","action_14_pot","action_14_bet_percentage","action_14_encoded_past_actions","action_15_type","action_15_amount","action_15_street","action_15_player","action_15_pot","action_15_bet_percentage","action_15_encoded_past_actions"
"","preflop","21300","20","990","1","","","C6,D3","[{'name': 'GTO_Player1', 'uuid': 'cituorbnmyurzmsjuosalr', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'pcgqmctrzzylumgelmncle', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","cituorbnmyurzmsjuosalr","0.29","0","call","10","preflop","pcgqmctrzzylumgelmncle","20","0.0","2130","fold","0","preflop","cituorbnmyurzmsjuosalr","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'fgdylbjtmbiyllilzdwccx', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'qqlvkfainbtfxhcuxkusow', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","fgdylbjtmbiyllilzdwccx","","1","fold","0","preflop","qqlvkfainbtfxhcuxkusow","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'knygwuxnekbzqrbjbuozcn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'lmxatmkivspdlwbbcxnfvu', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","knygwuxnekbzqrbjbuozcn","","1","fold","0","preflop","lmxatmkivspdlwbbcxnfvu","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'kwqjbgvotjwxgueqqfhyll', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'hswkpsrgeavebcpjncivpy', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","kwqjbgvotjwxgueqqfhyll","","1","fold","0","preflop","hswkpsrgeavebcpjncivpy","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ryoyqyahtgffxfluqjorny', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'zirxvhcltxiyvokrglkzgm', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ryoyqyahtgffxfluqjorny","","1","fold","0","preflop","zirxvhcltxiyvokrglkzgm","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","C7,D3","[{'name': 'GTO_Player1', 'uuid': 'unwnvzsocywklodrghtcob', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'boqslhppqxvwuuqvgghmon', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","unwnvzsocywklodrghtcob","0.3","0","call","10","preflop","boqslhppqxvwuuqvgghmon","20","0.0","2130","fold","0","preflop","unwnvzsocywklodrghtcob","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","22460","40","990","1","","","C2,D9","[{'name': 'GTO_Player1', 'uuid': 'htoklnurhtulewwzyxgqkh', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'rrqnjmlnerdidprkecxflx', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","htoklnurhtulewwzyxgqkh","0.31","0","raise","30","preflop","rrqnjmlnerdidprkecxflx","40","66.66666666666666","2246","fold","0","preflop","htoklnurhtulewwzyxgqkh","40","0.0","22460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJ,S8,CK,DQ,CT","river","22885431740","1080","730","1","","","HA,C3","[{'name': 'GTO_Player1', 'uuid': 'ziogmdgklatttyaefzzfxr', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'ozwucexviittvysrhxllqp', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","1080","1","river","ziogmdgklatttyaefzzfxr","0.94","0","raise","30","preflop","ozwucexviittvysrhxllqp","40","66.66666666666666","2246","call","30","preflop","ziogmdgklatttyaefzzfxr","60","0.0","22600","raise","60","flop","ozwucexviittvysrhxllqp","120","50.0","228755","call","60","flop","ziogmdgklatttyaefzzfxr","180","0.0","2288200","raise","180","turn","ozwucexviittvysrhxllqp","360","50.0","22885275","call","180","turn","ziogmdgklatttyaefzzfxr","540","0.0","228853920","raise","540","river","ozwucexviittvysrhxllqp","1080","50.0","2288542995","raise","-1","river","ziogmdgklatttyaefzzfxr","1080","0.0","22885431740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9,H9,CK","flop","415331314120","1670","1670","1","","","S9,DT","[{'name': 'GTO_Player1', 'uuid': 'vcimfwjmubhkiaxyovesgk', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'jxlbpxlypiuqiepyhpcgcm', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","1080","1","flop","vcimfwjmubhkiaxyovesgk","0.97","1","call","10","preflop","jxlbpxlypiuqiepyhpcgcm","20","0.0","2130","call","10","preflop","vcimfwjmubhkiaxyovesgk","20","0.0","21430","raise","20","flop","jxlbpxlypiuqiepyhpcgcm","40","100.0","217049","raise","40","flop","vcimfwjmubhkiaxyovesgk","80","66.66666666666666","2171246","raise","80","flop","jxlbpxlypiuqiepyhpcgcm","140","57.14285714285714","21715225","raise","140","flop","vcimfwjmubhkiaxyovesgk","240","50.0","217153025","raise","240","flop","jxlbpxlypiuqiepyhpcgcm","400","46.15384615384615","2171533024","raise","400","flop","vcimfwjmubhkiaxyovesgk","660","43.47826086956522","21715331024","raise","660","flop","jxlbpxlypiuqiepyhpcgcm","1080","41.77215189873418","217153313034","raise","990","flop","vcimfwjmubhkiaxyovesgk","1670","38.52140077821012","2171533131133","raise","-1","flop","jxlbpxlypiuqiepyhpcgcm","1670","0.0","415331314120","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","2295500","100","1050","1","","","C4,C3","[{'name': 'GTO_Player1', 'uuid': 'guxkbmbgmupolluciocyoj', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'xhergsntkyoybdfrhkidig', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","guxkbmbgmupolluciocyoj","0.32","1","raise","30","preflop","xhergsntkyoybdfrhkidig","40","66.66666666666666","2246","raise","50","preflop","guxkbmbgmupolluciocyoj","80","52.63157894736842","22715","call","50","preflop","xhergsntkyoybdfrhkidig","100","0.0","229300","fold","0","flop","xhergsntkyoybdfrhkidig","100","0.0","2295500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","D2,S9","[{'name': 'GTO_Player1', 'uuid': 'vxnlnjnejrufxxdlkinqdo', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'lrfjhilvgyqqaazkfbcufc', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","vxnlnjnejrufxxdlkinqdo","0.44","0","call","10","preflop","lrfjhilvgyqqaazkfbcufc","20","0.0","2130","fold","0","preflop","vxnlnjnejrufxxdlkinqdo","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","HJ,C6","[{'name': 'GTO_Player1', 'uuid': 'tmmktziaowrqxvqakurstc', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'othpnstfjqetqvmpgyjccv', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","tmmktziaowrqxvqakurstc","0.52","0","call","10","preflop","othpnstfjqetqvmpgyjccv","20","0.0","2130","fold","0","preflop","tmmktziaowrqxvqakurstc","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'auoqyrsrajnugmwlnemeia', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'fbwfbwmlrnhcgnucgsbzba', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","auoqyrsrajnugmwlnemeia","","1","fold","0","preflop","fbwfbwmlrnhcgnucgsbzba","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJ,DQ,H2,C7,D7","river","21713598300","248","876","1","","","DK,C8","[{'name': 'GTO_Player1', 'uuid': 'kwjxevvtljdxznnhyzrkgp', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'xnpnxpdomomcitfxahozuy', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","177","1","river","kwjxevvtljdxznnhyzrkgp","0.37","0","call","10","preflop","xnpnxpdomomcitfxahozuy","20","0.0","2130","call","10","preflop","kwjxevvtljdxznnhyzrkgp","20","0.0","21430","raise","13","flop","xnpnxpdomomcitfxahozuy","33","100.0","217039","call","13","flop","kwjxevvtljdxznnhyzrkgp","46","0.0","2171020","raise","30","turn","xnpnxpdomomcitfxahozuy","76","53.57142857142857","21713445","call","30","turn","kwjxevvtljdxznnhyzrkgp","106","0.0","217135590","raise","71","river","xnpnxpdomomcitfxahozuy","177","45.22292993630573","2171359664","call","71","river","kwjxevvtljdxznnhyzrkgp","248","0.0","21713598300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'xpsmeaomnsadgzpffetnbx', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'tbvmxvyhckzrupjcnhhqkm', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","xpsmeaomnsadgzpffetnbx","","1","fold","0","preflop","tbvmxvyhckzrupjcnhhqkm","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'vqrwndvlezwksllxvlqxck', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'ewvjpbladkrjkojooqhnvc', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","vqrwndvlezwksllxvlqxck","","1","fold","0","preflop","ewvjpbladkrjkojooqhnvc","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'mnketeevnzbtcvhahspjdg', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'bmxzyverilpjsnmnmmbjcd', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","mnketeevnzbtcvhahspjdg","","1","fold","0","preflop","bmxzyverilpjsnmnmmbjcd","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","ST,CA","[{'name': 'GTO_Player1', 'uuid': 'vesfaqlvrtanppokjhopoi', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'ynlhozcviiwnjifvdantub', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","vesfaqlvrtanppokjhopoi","0.64","1","call","10","preflop","ynlhozcviiwnjifvdantub","20","0.0","2130","call","10","preflop","vesfaqlvrtanppokjhopoi","20","0.0","21430","fold","0","flop","ynlhozcviiwnjifvdantub","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
