"community_cards","current_street","encoded_actions","final_pot","final_stack","game_number","hand_name","hand_value","hole_cards","initial_seats","initial_stack","player_name","pot","round_count","street","uuid","win_rate","won_hand","action_1_type","action_1_amount","action_1_street","action_1_player","action_1_pot","action_1_bet_percentage","action_1_encoded_past_actions","action_2_type","action_2_amount","action_2_street","action_2_player","action_2_pot","action_2_bet_percentage","action_2_encoded_past_actions","action_3_type","action_3_amount","action_3_street","action_3_player","action_3_pot","action_3_bet_percentage","action_3_encoded_past_actions","action_4_type","action_4_amount","action_4_street","action_4_player","action_4_pot","action_4_bet_percentage","action_4_encoded_past_actions","action_5_type","action_5_amount","action_5_street","action_5_player","action_5_pot","action_5_bet_percentage","action_5_encoded_past_actions","action_6_type","action_6_amount","action_6_street","action_6_player","action_6_pot","action_6_bet_percentage","action_6_encoded_past_actions","action_7_type","action_7_amount","action_7_street","action_7_player","action_7_pot","action_7_bet_percentage","action_7_encoded_past_actions","action_8_type","action_8_amount","action_8_street","action_8_player","action_8_pot","action_8_bet_percentage","action_8_encoded_past_actions","action_9_type","action_9_amount","action_9_street","action_9_player","action_9_pot","action_9_bet_percentage","action_9_encoded_past_actions","action_10_type","action_10_amount","action_10_street","action_10_player","action_10_pot","action_10_bet_percentage","action_10_encoded_past_actions","action_11_type","action_11_amount","action_11_street","action_11_player","action_11_pot","action_11_bet_percentage","action_11_encoded_past_actions","action_12_type","action_12_amount","action_12_street","action_12_player","action_12_pot","action_12_bet_percentage","action_12_encoded_past_actions","action_13_type","action_13_amount","action_13_street","action_13_player","action_13_pot","action_13_bet_percentage","action_13_encoded_past_actions","action_14_type","action_14_amount","action_14_street","action_14_player","action_14_pot","action_14_bet_percentage","action_14_encoded_past_actions","action_15_type","action_15_amount","action_15_street","action_15_player","action_15_pot","action_15_bet_percentage","action_15_encoded_past_actions"
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'cxenpcnycqbhqrncvixcmd', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'cvhomavwurddxtwgxajwnf', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","cxenpcnycqbhqrncvixcmd","","1","fold","0","preflop","cvhomavwurddxtwgxajwnf","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7,S6,C8","flop","436920212910","1664","1735","1","","","SQ,S8","[{'name': 'GTO_Player1', 'uuid': 'xownaenyxwvafmutencyzp', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'kwfagvdvoxvqadrapfkeqp', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","1312","1","flop","xownaenyxwvafmutencyzp","0.67","1","call","10","preflop","kwfagvdvoxvqadrapfkeqp","20","0.0","2130","raise","30","preflop","xownaenyxwvafmutencyzp","40","66.66666666666666","21546","raise","50","preflop","kwfagvdvoxvqadrapfkeqp","80","52.63157894736842","217715","call","50","preflop","xownaenyxwvafmutencyzp","100","0.0","2177300","raise","67","flop","kwfagvdvoxvqadrapfkeqp","167","34.01015228426396","21775763","raise","134","flop","xownaenyxwvafmutencyzp","301","40.483383685800604","217758404","raise","201","flop","kwfagvdvoxvqadrapfkeqp","435","37.78195488721804","2177586813","raise","291","flop","xownaenyxwvafmutencyzp","592","35.358444714459296","21775868913","raise","396","flop","kwfagvdvoxvqadrapfkeqp","787","32.4856439704676","217758691913","raise","527","flop","xownaenyxwvafmutencyzp","1023","30.18327605956472","2177586919923","raise","685","flop","kwfagvdvoxvqadrapfkeqp","1312","28.177704648292885","475869202022","raise","879","flop","xownaenyxwvafmutencyzp","1664","26.555891238670693","2298692021012","raise","-1","flop","kwfagvdvoxvqadrapfkeqp","1664","0.0","436920212910","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","DJ,H7","[{'name': 'GTO_Player1', 'uuid': 'zdwwqbtlcokxbnyzdcyewf', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'rxjgzspriqojeitakjkzbh', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","zdwwqbtlcokxbnyzdcyewf","0.5","1","call","10","preflop","rxjgzspriqojeitakjkzbh","20","0.0","2130","call","10","preflop","zdwwqbtlcokxbnyzdcyewf","20","0.0","21430","fold","0","flop","rxjgzspriqojeitakjkzbh","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DK,S5,SK,H4,S2","river","2171471092950","1260","550","1","","","HQ,D6","[{'name': 'GTO_Player1', 'uuid': 'mvcxkemplvxdjnofqrjwrm', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'bdauwddlttclcvxzheoyja', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","1260","1","river","mvcxkemplvxdjnofqrjwrm","0.23","0","call","10","preflop","bdauwddlttclcvxzheoyja","20","0.0","2130","call","10","preflop","mvcxkemplvxdjnofqrjwrm","20","0.0","21430","raise","20","flop","bdauwddlttclcvxzheoyja","40","100.0","217049","call","20","flop","mvcxkemplvxdjnofqrjwrm","60","0.0","2171130","raise","60","turn","bdauwddlttclcvxzheoyja","120","60.0","21714556","call","60","turn","mvcxkemplvxdjnofqrjwrm","180","0.0","217146710","raise","180","river","bdauwddlttclcvxzheoyja","360","52.94117647058824","2171470875","raise","360","river","mvcxkemplvxdjnofqrjwrm","720","51.42857142857142","21714710535","raise","720","river","bdauwddlttclcvxzheoyja","1260","50.70422535211267","217147109145","fold","0","river","mvcxkemplvxdjnofqrjwrm","1260","0.0","2171471092950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'yljsuxipvkzjwhyqquejpi', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'nfrrgxxhgjkfegpsungbmr', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","yljsuxipvkzjwhyqquejpi","","1","fold","0","preflop","nfrrgxxhgjkfegpsungbmr","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ienqaqoeucwpsrtghidfuj', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'whjhvsfbbcfdakclrldtiq', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ienqaqoeucwpsrtghidfuj","","1","fold","0","preflop","whjhvsfbbcfdakclrldtiq","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'xlxdespfwpusizjsqowwam', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'cawlheufrlolqlgcdzpiui', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","xlxdespfwpusizjsqowwam","","1","fold","0","preflop","cawlheufrlolqlgcdzpiui","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'sbvjugljmtgfcblbfaggpb', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'irnsfiztqoscuabnrppoui', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","sbvjugljmtgfcblbfaggpb","","1","fold","0","preflop","irnsfiztqoscuabnrppoui","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'hbqgjiliorkydzwexizorz', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'jjijggqojuyxawcfhpcbij', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","hbqgjiliorkydzwexizorz","","1","fold","0","preflop","jjijggqojuyxawcfhpcbij","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","C2,HK","[{'name': 'GTO_Player1', 'uuid': 'zuaagztvnnvsbynrbwpelw', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'yfxomcljeexpoznywsysnz', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","zuaagztvnnvsbynrbwpelw","0.55","1","call","10","preflop","yfxomcljeexpoznywsysnz","20","0.0","2130","call","10","preflop","zuaagztvnnvsbynrbwpelw","20","0.0","21430","fold","0","flop","yfxomcljeexpoznywsysnz","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4,H6,C4","flop","2170890","33","990","1","","","DJ,D5","[{'name': 'GTO_Player1', 'uuid': 'rhbweitmaknoxtkfgibbar', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'plnsrxvazencehpyogfuxu', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","33","1","flop","rhbweitmaknoxtkfgibbar","0.33","0","call","10","preflop","plnsrxvazencehpyogfuxu","20","0.0","2130","call","10","preflop","rhbweitmaknoxtkfgibbar","20","0.0","21430","raise","13","flop","plnsrxvazencehpyogfuxu","33","100.0","217039","fold","0","flop","rhbweitmaknoxtkfgibbar","33","0.0","2170890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'hfiloeckdugedvflcvwxsm', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'pqspiwkyjllelhkmjfwrvr', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","hfiloeckdugedvflcvwxsm","","1","fold","0","preflop","pqspiwkyjllelhkmjfwrvr","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ultrwvyjcsmznuznuoytgl', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'aygckoeornmbgnihtjqdkb', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ultrwvyjcsmznuznuoytgl","","1","fold","0","preflop","aygckoeornmbgnihtjqdkb","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'auxyuqqdihjhxtdjdqlkkm', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'watwgrwpxqnxwiafpirrtn', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","auxyuqqdihjhxtdjdqlkkm","","1","fold","0","preflop","watwgrwpxqnxwiafpirrtn","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","217450","30","1010","1","","","HT,H2","[{'name': 'GTO_Player1', 'uuid': 'htnewzajgzurqmhjndciwl', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'zqkzndnypftnmvlrxmbslw', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","htnewzajgzurqmhjndciwl","0.43","1","call","10","preflop","zqkzndnypftnmvlrxmbslw","20","0.0","2130","raise","20","preflop","htnewzajgzurqmhjndciwl","30","57.14285714285714","21545","fold","0","preflop","zqkzndnypftnmvlrxmbslw","30","0.0","217450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ,HQ,C3,SA","turn","21714716250","420","850","1","","","D9,H7","[{'name': 'GTO_Player1', 'uuid': 'fddxwpmibtrhojdbxawydc', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'jqrhdvksoxrikverxtsgdj', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","420","1","turn","fddxwpmibtrhojdbxawydc","0.3","0","call","10","preflop","jqrhdvksoxrikverxtsgdj","20","0.0","2130","call","10","preflop","fddxwpmibtrhojdbxawydc","20","0.0","21430","raise","20","flop","jqrhdvksoxrikverxtsgdj","40","100.0","217049","call","20","flop","fddxwpmibtrhojdbxawydc","60","0.0","2171130","raise","60","turn","jqrhdvksoxrikverxtsgdj","120","60.0","21714556","raise","120","turn","fddxwpmibtrhojdbxawydc","240","54.54545454545454","217146825","raise","240","turn","jqrhdvksoxrikverxtsgdj","420","52.17391304347826","2171471525","fold","0","turn","fddxwpmibtrhojdbxawydc","420","0.0","21714716250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'aahausvypiuheymyjkivvp', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'bskyvafultyvghlmirhigs', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","aahausvypiuheymyjkivvp","","1","fold","0","preflop","bskyvafultyvghlmirhigs","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'cytdkulfrlfjqqjyhtoaoa', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'zqcyummpaqxclpirfgysjo', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","cytdkulfrlfjqqjyhtoaoa","","1","fold","0","preflop","zqcyummpaqxclpirfgysjo","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'hxqdshaviyzumfcochwgls', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'xxrkamlcpwgclbnmifvxij', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","hxqdshaviyzumfcochwgls","","1","fold","0","preflop","xxrkamlcpwgclbnmifvxij","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","22945500","140","1070","1","","","C5,S5","[{'name': 'GTO_Player1', 'uuid': 'pabfziozwaubptccbleqgw', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'iolxydtkzkfqfzshnoaipd', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","120","1","preflop","pabfziozwaubptccbleqgw","0.55","1","raise","30","preflop","iolxydtkzkfqfzshnoaipd","40","66.66666666666666","2246","raise","50","preflop","pabfziozwaubptccbleqgw","80","52.63157894736842","22715","raise","70","preflop","iolxydtkzkfqfzshnoaipd","120","42.42424242424242","229414","call","70","preflop","pabfziozwaubptccbleqgw","140","0.0","2294300","fold","0","flop","iolxydtkzkfqfzshnoaipd","140","0.0","22945500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'edrmdnxomupctimpcjkaby', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'fjgjbkiyrowreuwttzetom', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","edrmdnxomupctimpcjkaby","","1","fold","0","preflop","fjgjbkiyrowreuwttzetom","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'pxqcxpbshqzlgajuzcctcg', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'rlfwzotmwqpejnxmntoadr', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","pxqcxpbshqzlgajuzcctcg","","1","fold","0","preflop","rlfwzotmwqpejnxmntoadr","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'sswherjbysnrjwchcqsmcm', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'skglxymnvilfgwyofjiykv', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","sswherjbysnrjwchcqsmcm","","1","fold","0","preflop","skglxymnvilfgwyofjiykv","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","21300","20","990","1","","","C6,H3","[{'name': 'GTO_Player1', 'uuid': 'aclbunxmwvfishpjgopaft', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'algxbcnrnagvcmpbjzqqzl', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","aclbunxmwvfishpjgopaft","0.34","0","call","10","preflop","algxbcnrnagvcmpbjzqqzl","20","0.0","2130","fold","0","preflop","aclbunxmwvfishpjgopaft","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'vktewmfrxgutjouxwyeloy', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'fdbdtguziygayrlfmhpyke', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","vktewmfrxgutjouxwyeloy","","1","fold","0","preflop","fdbdtguziygayrlfmhpyke","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","2178400","40","1020","1","","","HQ,C5","[{'name': 'GTO_Player1', 'uuid': 'jwnvvllbhqvytlzcmkdyay', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'hueueixhtkmwretxgvjxjf', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","jwnvvllbhqvytlzcmkdyay","0.54","1","call","10","preflop","hueueixhtkmwretxgvjxjf","20","0.0","2130","raise","20","preflop","jwnvvllbhqvytlzcmkdyay","30","57.14285714285714","21545","call","20","preflop","hueueixhtkmwretxgvjxjf","40","0.0","217590","fold","0","flop","hueueixhtkmwretxgvjxjf","40","0.0","2178400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","228500","60","1030","1","","","S3,DK","[{'name': 'GTO_Player1', 'uuid': 'ibxmdkmpebpzraweiasmwn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'vhchdkhrcinwfzqwwqgvuj', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","ibxmdkmpebpzraweiasmwn","0.47","1","raise","30","preflop","vhchdkhrcinwfzqwwqgvuj","40","66.66666666666666","2246","call","30","preflop","ibxmdkmpebpzraweiasmwn","60","0.0","22600","fold","0","flop","vhchdkhrcinwfzqwwqgvuj","60","0.0","228500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'yeykoddcucpbmgpzeelvtc', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'ytrjgwunqrhsluzhcyqakj', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","yeykoddcucpbmgpzeelvtc","","1","fold","0","preflop","ytrjgwunqrhsluzhcyqakj","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'wkwvqyzckesnxlygadkvgt', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'lopkgkfybomwgyoyuuskov', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","wkwvqyzckesnxlygadkvgt","","1","fold","0","preflop","lopkgkfybomwgyoyuuskov","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'bwgzrurklmsxpagegrthxa', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'zmxbxgxmegoaubfxalhlyx', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","bwgzrurklmsxpagegrthxa","","1","fold","0","preflop","zmxbxgxmegoaubfxalhlyx","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'zztrcagnxivhkrywqyczqc', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'asafoiyjgkmfeqhcqhpvxz', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","zztrcagnxivhkrywqyczqc","","1","fold","0","preflop","asafoiyjgkmfeqhcqhpvxz","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ifrhofxbsiebsaaopeabxo', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'ydqdrcoslynyxejhubyhwf', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ifrhofxbsiebsaaopeabxo","","1","fold","0","preflop","ydqdrcoslynyxejhubyhwf","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ctkkejoxyzeddkbacxwgbq', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'csgncicbojyxhckgcexfqb', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ctkkejoxyzeddkbacxwgbq","","1","fold","0","preflop","csgncicbojyxhckgcexfqb","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","228500","60","1030","1","","","HT,C6","[{'name': 'GTO_Player1', 'uuid': 'baoftqxriqelvfzlmfzbje', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'ywrmdtralymndkzzxvokkl', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","baoftqxriqelvfzlmfzbje","0.49","1","raise","30","preflop","ywrmdtralymndkzzxvokkl","40","66.66666666666666","2246","call","30","preflop","baoftqxriqelvfzlmfzbje","60","0.0","22600","fold","0","flop","ywrmdtralymndkzzxvokkl","60","0.0","228500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","22460","40","990","1","","","H2,S4","[{'name': 'GTO_Player1', 'uuid': 'nyyjkbrxsdozgzkzttfqry', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'nywqdoltzxrpubrhninqze', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","nyyjkbrxsdozgzkzttfqry","0.27","0","raise","30","preflop","nywqdoltzxrpubrhninqze","40","66.66666666666666","2246","fold","0","preflop","nyyjkbrxsdozgzkzttfqry","40","0.0","22460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
